,name,comment
0,银河小铁骑kl,拿得出手的才算前任，你顶多算污点
1,因为你的眼睛会发光呀,“手持烟火以谋生活，心怀诗意以谋爱”
2,Messier味丞汁儿,“变”是人的本性，但依然有人悖逆本性去爱。
3,软萌昔,音乐是我最便宜的快乐了
4,八爷女人,女孩子要分清什么是学习什么是爱情学好了考好了前途一片光明爱错了青春毁了人生一败涂地
5,我站在人海,2021年10月1日计划很久的去爬泰山了，订了火车票，和朋友一起去的，人很多但不负初心，早上5点登顶，虽然都是雾，没看到日出但依旧觉得人间值得，说走就走的勇气也伴随着泰山登顶的那一刻留在记忆了，敬仅有且只有一次的17岁
6,几怜,其实这版我觉得有点吵，如果有个安静一点的版本就好了
7,黑暗中漫舞吗,分开以后我想活成你的影子\n你奔向未来前程似锦\n而我守着关于你的往事回忆\n眼望人海万里却也融不进人海里\n再等等吧\n等你音信全无\n我再去爱这世间万物
8,坂上奈奈,你就围着他转吧书别读了.
9,我的你的他的他的还是我的,最近考研备战焦虑期全靠路过人间续命
10,梦境凭空,张嘉佳说过：她突然地来，突然地走。我慢慢明白，人与人之间没有突然。她想好了才会来，想清了才会走。
11,娇娇子s,承诺只有听的人记得说的人早就忘了
12,明湖大仙,我和好朋友两个人一起租车去大理古城，他开车，我管饭。两个人绕着苍山洱海慢慢开，车里就循环着这首歌，放到嘿～意不意外的时候，远处的阳光破开了早晨的云雾，一条条金剑从云端刺破蓝色的阴天，在洱海上留下一道金色浮光。很多年以后我们可能不再联系，也可能关系更好，但是这一刻的景象我会一直记得
13,风风梧桐,路过人间，没遇见你之前，父母因为要赚钱，小学就自己在家生活学习，一直聚少离多，理解父母，懂得女孩子要多读书，否则要早早嫁人。我很幸运，努力尚可，一路上顺风顺水。只有自己知道，我缺乏安全感，敏感又好强。遇见你，才感受到被爱与偏爱，谢谢你等我两年，等我研究生毕业，我们就结婚吧
14,LDQDQQ,网易云！你得谢谢时光音乐会施舍你了一个绝美live版的路过人间！！！！！！！！！！
15,三五00,现在是2021.11.23凌晨四点，距离手术时间还有7小时，也许这次过后，很难清醒过来，可能再也抱不动手机了，人生步入倒计时，鼓励的话不必多说，让我安安静静的给这个世界留下一些痕迹，我爱你们，也爱这个世界，好好道个别吧
16,小白不吃生菜,会好起来的！。。。
17,周德垚,能走进你们的记忆里那便是我在人间留下的唯一痕迹！
18,左耳近心180928,好可惜
19,EncounterLYF,到现在都没有缓过来
20,巫纷若吉-F,是我亏欠。才知道和谁都不相欠是一件难事。
21,咿呀咿呀呦0416,要明白人会来就会离开
22,青慕余,诸君此间一别我在人间等你们
23,_井口纱织_,告诉你一个小秘密，用两个手指往屏幕中间同时滑屏幕，就可以抱抱我哦，不信你试试！\n\n抱了要留下消息哟，我要抱回来😉
24,杰杰子v,可可爱爱
